datetime,adj_close,close,high,low,open,volume,symbol
2026-09-01 10:38:00+05:30,1301.699951171875,1301.699951171875,1301.800048828125,1301.4000244140625,1301.5,12944,RELIANCE
2026-09-01 10:39:00+05:30,1301.699951171875,1301.699951171875,1301.800048828125,1301.5999755859375,1301.699951171875,4741,RELIANCE
2026-09-01 10:40:00+05:30,1301.699951171875,1301.699951171875,1301.800048828125,1301.5999755859375,1301.699951171875,12427,RELIANCE
2026-09-01 10:41:00+05:30,1301.4000244140625,1301.4000244140625,1301.699951171875,1301.4000244140625,1301.699951171875,5234,RELIANCE
2026-09-01 10:42:00+05:30,1302.5999755859375,1302.5999755859375,1302.5999755859375,1301.0,1301.5,32318,RELIANCE
2026-09-01 10:43:00+05:30,1303.5999755859375,1303.5999755859375,1303.699951171875,1302.4000244140625,1302.4000244140625,33525,RELIANCE
2026-09-01 10:44:00+05:30,1302.5999755859375,1302.5999755859375,1303.699951171875,1302.5999755859375,1303.5,14049,RELIANCE
2026-09-01 10:45:00+05:30,1302.800048828125,1302.800048828125,1302.9000244140625,1302.5999755859375,1302.699951171875,2326,RELIANCE
2026-09-01 10:46:00+05:30,1302.5999755859375,1302.5999755859375,1302.800048828125,1302.0999755859375,1302.800048828125,9522,RELIANCE
2026-09-01 10:47:00+05:30,1302.5,1302.5,1302.5999755859375,1302.0999755859375,1302.5999755859375,6549,RELIANCE
2026-09-01 10:48:00+05:30,1302.699951171875,1302.699951171875,1302.699951171875,1302.300048828125,1302.300048828125,4400,RELIANCE
2026-09-01 10:49:00+05:30,1302.5,1302.5,1302.699951171875,1302.5,1302.5,6818,RELIANCE
2026-09-01 10:50:00+05:30,1302.5,1302.5,1302.699951171875,1302.199951171875,1302.199951171875,6942,RELIANCE
2026-09-01 10:51:00+05:30,1302.199951171875,1302.199951171875,1302.5,1302.199951171875,1302.5,7870,RELIANCE
2026-09-01 10:52:00+05:30,1302.5999755859375,1302.5999755859375,1302.5999755859375,1301.5,1302.0,10271,RELIANCE
2026-09-01 10:53:00+05:30,1302.199951171875,1302.199951171875,1302.800048828125,1302.0999755859375,1302.5,14211,RELIANCE
2026-09-01 10:54:00+05:30,1302.0999755859375,1302.0999755859375,1302.800048828125,1302.0999755859375,1302.5999755859375,4572,RELIANCE
2026-09-01 10:55:00+05:30,1302.4000244140625,1302.4000244140625,1302.5999755859375,1301.699951171875,1302.300048828125,17708,RELIANCE
2026-09-01 10:56:00+05:30,1301.699951171875,1301.699951171875,1302.4000244140625,1301.699951171875,1302.4000244140625,22010,RELIANCE
2026-09-01 10:57:00+05:30,1303.5,1303.5,1303.5999755859375,1301.5999755859375,1301.800048828125,33163,RELIANCE
2026-09-01 10:58:00+05:30,1304.199951171875,1304.199951171875,1304.5,1302.5999755859375,1303.800048828125,57346,RELIANCE
2026-09-01 10:59:00+05:30,1305.9000244140625,1305.9000244140625,1306.0,1304.0999755859375,1304.0999755859375,118981,RELIANCE
2026-09-01 11:00:00+05:30,1305.4000244140625,1305.4000244140625,1305.9000244140625,1305.0,1305.800048828125,10262,RELIANCE
2026-09-01 11:01:00+05:30,1304.199951171875,1304.199951171875,1305.5,1304.0999755859375,1305.4000244140625,13537,RELIANCE
2026-09-01 11:02:00+05:30,1305.0,1305.0,1305.0,1304.199951171875,1304.5999755859375,14497,RELIANCE
2026-09-01 11:03:00+05:30,1304.800048828125,1304.800048828125,1305.0,1304.0999755859375,1305.0,3989,RELIANCE
2026-09-01 11:04:00+05:30,1304.5,1304.5,1304.800048828125,1304.4000244140625,1304.800048828125,3442,RELIANCE
2026-09-01 11:05:00+05:30,1304.199951171875,1304.199951171875,1304.5999755859375,1304.0,1304.5999755859375,14615,RELIANCE
2026-09-01 11:06:00+05:30,1304.0999755859375,1304.0999755859375,1304.5,1304.0,1304.0,7625,RELIANCE
2026-09-01 11:07:00+05:30,1304.300048828125,1304.300048828125,1304.5,1304.0,1304.4000244140625,4726,RELIANCE
2026-09-01 11:08:00+05:30,1304.4000244140625,1304.4000244140625,1304.5,1304.0999755859375,1304.300048828125,11403,RELIANCE
2026-09-01 11:09:00+05:30,1304.0,1304.0,1304.5,1304.0,1304.5,8395,RELIANCE
2026-09-01 11:10:00+05:30,1304.0999755859375,1304.0999755859375,1304.5,1304.0,1304.0999755859375,8382,RELIANCE
2026-09-01 11:11:00+05:30,1304.5999755859375,1304.5999755859375,1305.0,1304.0999755859375,1304.5,20795,RELIANCE
2026-09-01 11:12:00+05:30,1305.0,1305.0,1305.0,1304.0,1304.5,13002,RELIANCE
2026-09-01 11:13:00+05:30,1304.300048828125,1304.300048828125,1305.0,1304.300048828125,1305.0,5625,RELIANCE
